id_EXIST,lang,tweet,number_annotators,annotators,gender_annotators,age_annotators,ethnicities_annotators,study_levels_annotators,countries_annotators,labels_task1_1,labels_task1_2,labels_task1_3,split,cleaned_text,translated_back
100001,es,"@TheChiflis Ignora al otro, es un capullo.El problema con este youtuber denuncia el acoso... cuando no afecta a la gente de izquierdas. Por ejemplo, en su video sobre el gamergate presenta como ""normal"" el acoso que reciben Fisher, Anita o Zöey cuando hubo hasta amenazas de bomba.",6,"['Annotator_1', 'Annotator_2', 'Annotator_3', 'Annotator_4', 'Annotator_5', 'Annotator_6']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent', 'Master’s degree', 'Master’s degree', 'High school degree or equivalent']","['Italy', 'Mexico', 'United States', 'Spain', 'Spain', 'Chile']","['YES', 'YES', 'NO', 'YES', 'YES', 'YES']","['REPORTED', 'JUDGEMENTAL', '-', 'REPORTED', 'JUDGEMENTAL', 'REPORTED']","[['OBJECTIFICATION'], ['OBJECTIFICATION', 'SEXUAL-VIOLENCE'], ['-'], ['STEREOTYPING-DOMINANCE'], ['SEXUAL-VIOLENCE'], ['IDEOLOGICAL-INEQUALITY', 'MISOGYNY-NON-SEXUAL-VIOLENCE']]",TRAIN_ES,"ignora al otro, es un capullo.el problema con este youtuber denuncia el acoso... cuando no afecta a la gente de izquierdas. por ejemplo, en su video sobre el gamergate presenta como normal el acoso que reciben fisher, anita o zey cuando hubo hasta amenazas de bomba.","Ignora al otro, es un idiota.El problema con este youtuber denuncia el acoso... cuando no afecta a la gente de izquierda.Por ejemplo, en su video sobre el gamergate presenta como normal el acoso que reciben pescador, anita o zey cuando incluso hubo amenazas de bomba."
100002,es,@ultimonomada_ Si comicsgate se parece en algo a gamergate pues muy bien por el acoso. Y si se está haciendo un sabotaje porque hay personajes que no os gustan entonces gracias por darme la razón. Sois unos lloricas ofendidos.,6,"['Annotator_7', 'Annotator_8', 'Annotator_9', 'Annotator_10', 'Annotator_11', 'Annotator_12']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Black or African American', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent', 'High school degree or equivalent', 'Master’s degree', 'Bachelor’s degree']","['United Kingdom', 'Mexico', 'United States', 'Portugal', 'Chile', 'Mexico']","['NO', 'NO', 'NO', 'NO', 'YES', 'NO']","['-', '-', '-', '-', 'DIRECT', '-']","[['-'], ['-'], ['-'], ['-'], ['OBJECTIFICATION'], ['-']]",TRAIN_ES,si comicsgate se parece en algo a gamergate pues muy bien por el acoso. y si se está haciendo un sabotaje porque hay personajes que no os gustan entonces gracias por darme la razón. sois unos lloricas ofendidos.,Si comicgate se ve como algo para gamergate porque muy bien debido al acoso. y si está siendo saboteado porque hay personajes que no te gustan entonces gracias por darme la razón.
100003,es,"@Steven2897 Lee sobre Gamergate, y como eso ha cambiado la manera en la cual nos comunicamos en el internet. Los fanboys de Halo están tóxicos pero los fanboys de otras comunidades/juegos también han querido coger pauta con eso 🤷🏾‍♂️",6,"['Annotator_7', 'Annotator_8', 'Annotator_9', 'Annotator_10', 'Annotator_11', 'Annotator_12']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Black or African American', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent', 'High school degree or equivalent', 'Master’s degree', 'Bachelor’s degree']","['United Kingdom', 'Mexico', 'United States', 'Portugal', 'Chile', 'Mexico']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","['-', '-', '-', '-', '-', '-']","[['-'], ['-'], ['-'], ['-'], ['-'], ['-']]",TRAIN_ES,"lee sobre gamergate, y como eso ha cambiado la manera en la cual nos comunicamos en el internet. los fanboys de halo están tóxicos pero los fanboys de otras comunidadesjuegos también han querido coger pauta con eso","Lea acerca de gamergate, y cómo eso ha cambiado la forma en que nos comunicamos en Internet. Los fans de Halo son tóxicos, pero los fans de otras comunidades de juegos también han querido llevarse bien con eso."
100004,es,"@Lunariita7 Un retraso social bastante lamentable, gamergate, trump, y aquí en españa pues lo que tenemos...",6,"['Annotator_13', 'Annotator_14', 'Annotator_15', 'Annotator_16', 'Annotator_17', 'Annotator_18']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'Master’s degree', 'High school degree or equivalent']","['Mexico', 'Chile', 'Spain', 'Spain', 'Portugal', 'Spain']","['NO', 'NO', 'YES', 'NO', 'YES', 'YES']","['-', '-', 'DIRECT', '-', 'REPORTED', 'REPORTED']","[['-'], ['-'], ['IDEOLOGICAL-INEQUALITY'], ['-'], ['IDEOLOGICAL-INEQUALITY'], ['IDEOLOGICAL-INEQUALITY', 'OBJECTIFICATION', 'SEXUAL-VIOLENCE']]",TRAIN_ES,"un retraso social bastante lamentable, gamergate, trump, y aquí en españa pues lo que tenemos...","un retraso social bastante lamentable, gamergate, triunfo, y aquí en España porque lo que tenemos..."
100005,es,"@novadragon21 @icep4ck @TvDannyZ Entonces como así es el mercado lo mejor no es hacer algo para cambiarlo y seguir alimentando el machismo en los consumidores en lugar apoyar a gente como las víctimas del gamergate.Acerca de lo otro, el ""tenían"" implica un imperativo entonces no entiendo lo del buscaban.",6,"['Annotator_19', 'Annotator_20', 'Annotator_21', 'Annotator_22', 'Annotator_23', 'Annotator_24']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Doctorate', 'Master’s degree', 'High school degree or equivalent']","['Mexico', 'Afghanistan', 'United States', 'Italy', 'Portugal', 'Chile']","['YES', 'NO', 'YES', 'NO', 'YES', 'YES']","['REPORTED', '-', 'JUDGEMENTAL', '-', 'JUDGEMENTAL', 'DIRECT']","[['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION'], ['-'], ['IDEOLOGICAL-INEQUALITY', 'OBJECTIFICATION'], ['-'], ['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE'], ['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION']]",TRAIN_ES,"entonces como así es el mercado lo mejor no es hacer algo para cambiarlo y seguir alimentando el machismo en los consumidores en lugar apoyar a gente como las víctimas del gamergate.acerca de lo otro, el tenían implica un imperativo entonces no entiendo lo del buscaban.","entonces como es el mercado lo mejor es no hacer algo para cambiarlo y seguir alimentando el machismo en los consumidores en lugar de apoyar a personas como las víctimas del gamergate. sobre la otra cosa, él había implicado un imperativo entonces no entiendo lo que estaban buscando."
100006,es,"@yonkykong Aaah sí. Andrew Dobson. El que se dedicó a echar mierda del gamergate al más puro estilo white knight, y todo deviantart se le echó encima",6,"['Annotator_25', 'Annotator_26', 'Annotator_27', 'Annotator_28', 'Annotator_29', 'Annotator_30']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Multiracial', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Master’s degree', 'Master’s degree', 'High school degree or equivalent']","['United Kingdom', 'Mexico', 'Poland', 'Spain', 'Portugal', 'Portugal']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","['-', '-', '-', '-', '-', '-']","[['-'], ['-'], ['-'], ['-'], ['-'], ['-']]",TRAIN_ES,"aaah sí. andrew dobson. el que se dedicó a echar mierda del gamergate al más puro estilo white knight, y todo deviantart se le echó encima","Andrew Dobson, el que se dedicó a tirar mierda del gamergate al estilo de un caballero blanco, y todo lo desviado le cayó encima."
100007,es,"@glutamatom @JoaquinAdolfoC Estaba del lado del Gamergate si mal no recuerdo. Encaja con el perfil de THQ Nordic, lol",6,"['Annotator_25', 'Annotator_26', 'Annotator_27', 'Annotator_28', 'Annotator_29', 'Annotator_30']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Multiracial', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Master’s degree', 'Master’s degree', 'High school degree or equivalent']","['United Kingdom', 'Mexico', 'Poland', 'Spain', 'Portugal', 'Portugal']","['NO', 'YES', 'YES', 'NO', 'NO', 'YES']","['-', 'UNKNOWN', 'DIRECT', '-', '-', 'DIRECT']","[['-'], ['UNKNOWN'], ['MISOGYNY-NON-SEXUAL-VIOLENCE'], ['-'], ['-'], ['MISOGYNY-NON-SEXUAL-VIOLENCE']]",TRAIN_ES,"estaba del lado del gamergate si mal no recuerdo. encaja con el perfil de thq nordic, lol","Estaba en el lado del gamergate si recuerdo bien. Se ajusta al perfil de thq nórdico, lol"
100008,es,"@BestKabest Esta gringa sigue llorando por el gamergate, que ""coincidencia"" que tenga pronombres en su perfil",6,"['Annotator_25', 'Annotator_26', 'Annotator_27', 'Annotator_28', 'Annotator_29', 'Annotator_30']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Multiracial', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Master’s degree', 'Master’s degree', 'High school degree or equivalent']","['United Kingdom', 'Mexico', 'Poland', 'Spain', 'Portugal', 'Portugal']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']","['DIRECT', 'DIRECT', 'DIRECT', 'JUDGEMENTAL', 'DIRECT', 'DIRECT']","[['IDEOLOGICAL-INEQUALITY'], ['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION'], ['IDEOLOGICAL-INEQUALITY', 'MISOGYNY-NON-SEXUAL-VIOLENCE'], ['IDEOLOGICAL-INEQUALITY'], ['STEREOTYPING-DOMINANCE'], ['IDEOLOGICAL-INEQUALITY']]",TRAIN_ES,"esta gringa sigue llorando por el gamergate, que coincidencia que tenga pronombres en su perfil","Esta gringa sigue llorando por el gamergate, cuya coincidencia tiene pronombres en su perfil."
100009,es,.¿Conoces la #DECORACION #estilo #GAMER para #adolescentes  ?Te lo explicamos en nuestro #post : ❤️ https://t.co/NuSNs36GIT¿Nos sigues?#inspiracionalcuadrado #interiorismo #homedecorideas #Madrid #chamberi #Salamanca #gamers #GAMERGATE #gamergirl https://t.co/Mcibiy8YdX,6,"['Annotator_31', 'Annotator_32', 'Annotator_33', 'Annotator_34', 'Annotator_35', 'Annotator_36']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent']","['Mexico', 'Mexico', 'United Kingdom', 'Spain', 'Chile', 'Mexico']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","['-', '-', '-', '-', '-', '-']","[['-'], ['-'], ['-'], ['-'], ['-'], ['-']]",TRAIN_ES,.conoces la decoracion estilo gamer para adolescentes ?te lo explicamos en nuestro post sigues?inspiracionalcuadrado interiorismo homedecorideas madrid chamberi salamanca gamers gamergate gamergirl,¿Conoces el estilo de juego de decoración para adolescentes? te lo explicamos en nuestro post continue?inspirationalssquare interior design homedecorides madrid chami salamanca gamers gamergate gamergirl
100010,es,CES 2022 ASUS ROG Rise of Gamers Evento de lanzamiento https://t.co/CjqHQwxMFD #AMD2022 #AMD #AMDRedTeam #AMDRyzen #Intel #nvidia #NVIDIAOmniverse #NVIDIAGeForce #NVIDIAStudio #gamergirl #gamers #GamerGate #GamersUnite #gameroom #StockMarket #stocks #StocksToBuy #Stock,6,"['Annotator_37', 'Annotator_38', 'Annotator_39', 'Annotator_40', 'Annotator_41', 'Annotator_42']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Bachelor’s degree', 'other', 'Bachelor’s degree']","['United States', 'Mexico', 'Venezuela', 'Spain', 'Spain', 'Mexico']","['NO', 'NO', 'YES', 'NO', 'NO', 'NO']","['-', '-', 'DIRECT', '-', '-', '-']","[['-'], ['-'], ['STEREOTYPING-DOMINANCE'], ['-'], ['-'], ['-']]",TRAIN_ES,ces 2022 asus rog rise of gamers evento de lanzamiento amd2022 amd amdredteam amdryzen intel nvidia nvidiaomniverse nvidiageforce nvidiastudio gamergirl gamers gamergate gamersunite gameroom stockmarket stocks stockstobuy stock,casi 2022 asus rog aumento de los jugadores lanzamiento evento amd2022 amd amdredteam amdryzen intel nvidia nvidiaomniverse nvidiageforce nvidiaudio gamergirl gamersagersunite stock stockages to buy stock
